name,threesMade,over_under,DraftKings,FanDuel
Aaron Gordon,0.5,Over,-280.0,
Aaron Gordon,1.5,Over,162.5,
Aaron Gordon,1.5,Under,-215.0,
Aaron Gordon,2.5,Over,500.0,
Aaron Gordon,3.5,Over,1500.0,
Aaron Wiggins,0.5,Over,,-3000.0
Aaron Wiggins,1.5,Over,-425.0,-400.0
Aaron Wiggins,2.5,Over,-137.5,-126.5
Aaron Wiggins,2.5,Under,105.0,-104.0
Aaron Wiggins,3.5,Over,175.0,215.0
Aaron Wiggins,4.5,Over,400.0,500.0
Aaron Wiggins,5.5,Over,900.0,1060.0
Aaron Wiggins,6.5,Over,2000.0,2000.0
Alex Caruso,0.5,Over,-1100.0,-1100.0
Alex Caruso,1.5,Over,-235.0,-205.0
Alex Caruso,2.5,Over,132.5,156.0
Alex Caruso,2.5,Under,-175.0,-210.0
Alex Caruso,3.5,Over,320.0,420.0
Alex Caruso,4.5,Over,800.0,950.0
Alex Caruso,5.5,Over,2000.0,
Anfernee Simons,0.5,Over,,-7000.0
Anfernee Simons,1.5,Over,-1000.0,-850.0
Anfernee Simons,2.5,Over,-290.0,-250.0
Anfernee Simons,3.5,Over,-117.5,101.0
Anfernee Simons,3.5,Under,-115.0,-132.0
Anfernee Simons,4.5,Over,185.0,230.0
Anfernee Simons,5.5,Over,390.0,480.0
Anfernee Simons,6.5,Over,800.0,900.0
Anfernee Simons,7.5,Over,1700.0,1700.0
Anthony Edwards,0.5,Over,,-20000.0
Anthony Edwards,1.5,Over,-1400.0,-1800.0
Anthony Edwards,2.5,Over,-380.0,-390.0
Anthony Edwards,3.5,Over,-152.0,-152.0
Anthony Edwards,3.5,Under,120.0,116.0
Anthony Edwards,4.5,Over,140.0,160.0
Anthony Edwards,5.5,Over,290.0,330.0
Anthony Edwards,6.5,Over,600.0,630.0
Anthony Edwards,7.5,Over,1200.0,1200.0
Anthony Edwards,8.5,Over,2200.0,2200.0
Bam Adebayo,0.5,Over,-150.0,
Bam Adebayo,0.5,Under,114.0,
Bam Adebayo,1.5,Over,310.0,
Bam Adebayo,2.5,Over,1200.0,
Bogdan Bogdanovic,0.5,Over,,-4000.0
Bogdan Bogdanovic,1.5,Over,-475.0,-430.0
Bogdan Bogdanovic,2.5,Over,-150.0,-142.0
Bogdan Bogdanovic,2.5,Under,114.0,108.0
Bogdan Bogdanovic,3.5,Over,145.0,180.0
Bogdan Bogdanovic,4.5,Over,330.0,410.0
Bogdan Bogdanovic,5.5,Over,700.0,870.0
Bogdan Bogdanovic,6.5,Over,1500.0,1500.0
Bogdan Bogdanovic,7.5,Over,,3500.0
Bradley Beal,0.5,Over,-700.0,-700.0
Bradley Beal,1.5,Over,-142.5,-144.0
Bradley Beal,1.5,Under,110.0,110.0
Bradley Beal,2.5,Over,205.0,230.0
Bradley Beal,3.5,Over,550.0,600.0
Bradley Beal,4.5,Over,1500.0,1400.0
Chet Holmgren,0.5,Over,-450.0,
Chet Holmgren,1.5,Over,102.5,
Chet Holmgren,1.5,Under,-135.0,
Chet Holmgren,2.5,Over,310.0,
Chet Holmgren,3.5,Over,850.0,
Chet Holmgren,4.5,Over,2200.0,
Chris Paul,0.5,Over,-600.0,-620.0
Chris Paul,1.5,Over,-137.5,-139.0
Chris Paul,1.5,Under,105.0,106.0
Chris Paul,2.5,Over,200.0,230.0
Chris Paul,3.5,Over,500.0,600.0
Chris Paul,4.5,Over,1300.0,1500.0
Christian Braun,0.5,Over,-295.0,
Christian Braun,1.5,Over,155.0,
Christian Braun,1.5,Under,-210.0,
Christian Braun,2.5,Over,500.0,
Christian Braun,3.5,Over,1600.0,
Collin Sexton,0.5,Over,-550.0,-520.0
Collin Sexton,1.5,Over,-122.5,-113.5
Collin Sexton,1.5,Under,-110.0,-114.0
Collin Sexton,2.5,Over,235.0,280.0
Collin Sexton,3.5,Over,600.0,750.0
Collin Sexton,4.5,Over,1600.0,
Darius Garland,0.5,Over,,-3500.0
Darius Garland,1.5,Over,-390.0,-400.0
Darius Garland,2.5,Over,-132.5,-129.0
Darius Garland,2.5,Under,100.0,-102.0
Darius Garland,3.5,Over,180.0,200.0
Darius Garland,4.5,Over,400.0,480.0
Darius Garland,5.5,Over,850.0,1000.0
Darius Garland,6.5,Over,1900.0,1700.0
De'Aaron Fox,0.5,Over,-1200.0,-1400.0
De'Aaron Fox,1.5,Over,-255.0,-225.0
De'Aaron Fox,2.5,Over,117.5,135.0
De'Aaron Fox,2.5,Under,-154.0,-180.0
De'Aaron Fox,3.5,Over,280.0,340.0
De'Aaron Fox,4.5,Over,700.0,750.0
De'Aaron Fox,5.5,Over,1700.0,1500.0
De'Andre Hunter,0.5,Over,-800.0,-900.0
De'Andre Hunter,1.5,Over,-173.0,-175.0
De'Andre Hunter,1.5,Under,130.0,132.0
De'Andre Hunter,2.5,Over,155.0,176.0
De'Andre Hunter,3.5,Over,380.0,450.0
De'Andre Hunter,4.5,Over,850.0,1100.0
De'Andre Hunter,5.5,Over,2000.0,
DeMar DeRozan,0.5,Over,-450.0,
DeMar DeRozan,1.5,Over,-2.5,
DeMar DeRozan,1.5,Under,-130.0,
DeMar DeRozan,2.5,Over,300.0,
DeMar DeRozan,3.5,Over,850.0,
DeMar DeRozan,4.5,Over,2200.0,
Deni Avdija,0.5,Over,-475.0,
Deni Avdija,1.5,Over,-107.5,
Deni Avdija,1.5,Under,-125.0,
Deni Avdija,2.5,Over,275.0,
Deni Avdija,3.5,Over,800.0,
Deni Avdija,4.5,Over,2200.0,
Desmond Bane,0.5,Over,-1400.0,-2000.0
Desmond Bane,1.5,Over,-280.0,-310.0
Desmond Bane,2.5,Over,107.5,103.0
Desmond Bane,2.5,Under,-140.0,-136.0
Desmond Bane,3.5,Over,260.0,280.0
Desmond Bane,4.5,Over,600.0,700.0
Desmond Bane,5.5,Over,1400.0,1300.0
Desmond Bane,6.5,Over,,2500.0
Devin Booker,0.5,Over,,-3500.0
Devin Booker,1.5,Over,-425.0,-400.0
Devin Booker,2.5,Over,-132.5,-125.0
Devin Booker,2.5,Under,100.0,-104.0
Devin Booker,3.5,Over,185.0,200.0
Devin Booker,4.5,Over,425.0,470.0
Devin Booker,5.5,Over,950.0,1000.0
Devin Booker,6.5,Over,2200.0,1700.0
Devin Vassell,0.5,Over,,-2000.0
Devin Vassell,1.5,Over,-390.0,-310.0
Devin Vassell,2.5,Over,-132.5,101.0
Devin Vassell,2.5,Under,100.0,-132.0
Devin Vassell,3.5,Over,180.0,255.0
Devin Vassell,4.5,Over,425.0,600.0
Devin Vassell,5.5,Over,900.0,1200.0
Devin Vassell,6.5,Over,1900.0,2200.0
Donovan Clingan,0.5,Over,400.0,
Donovan Mitchell,0.5,Over,,-7000.0
Donovan Mitchell,1.5,Over,-650.0,-650.0
Donovan Mitchell,2.5,Over,-215.0,-192.0
Donovan Mitchell,3.5,Over,112.0,134.0
Donovan Mitchell,3.5,Under,-145.0,-180.0
Donovan Mitchell,4.5,Over,240.0,310.0
Donovan Mitchell,5.5,Over,500.0,630.0
Donovan Mitchell,6.5,Over,1000.0,1300.0
Donovan Mitchell,7.5,Over,2000.0,2500.0
Donte DiVincenzo,0.5,Over,,-6000.0
Donte DiVincenzo,1.5,Over,-650.0,-590.0
Donte DiVincenzo,2.5,Over,-215.0,-192.0
Donte DiVincenzo,3.5,Over,112.0,127.0
Donte DiVincenzo,3.5,Under,-145.0,-168.0
Donte DiVincenzo,4.5,Over,240.0,300.0
Donte DiVincenzo,5.5,Over,500.0,600.0
Donte DiVincenzo,6.5,Over,1000.0,1200.0
Donte DiVincenzo,7.5,Over,2200.0,2500.0
Evan Mobley,0.5,Over,-205.0,
Evan Mobley,0.5,Under,154.0,
Evan Mobley,1.5,Over,220.0,
Evan Mobley,2.5,Over,750.0,
Evan Mobley,3.5,Over,2500.0,
Harrison Barnes,0.5,Over,-750.0,-530.0
Harrison Barnes,1.5,Over,-165.0,-116.5
Harrison Barnes,1.5,Under,,-112.0
