name,threesMade,over_under,DraftKings,FanDuel
Aaron Nesmith,0.5,Over,-650.0,-620.0
Aaron Nesmith,1.5,Over,-137.5,-127.5
Aaron Nesmith,1.5,Under,105.0,-102.0
Aaron Nesmith,2.5,Over,215.0,240.0
Aaron Nesmith,3.5,Over,550.0,630.0
Aaron Nesmith,4.5,Over,1600.0,
Alperen Sengun,0.5,Over,170.0,
Alperen Sengun,1.5,Over,1000.0,
Andrew Nembhard,0.5,Over,-205.0,
Andrew Nembhard,1.5,Over,235.0,
Andrew Nembhard,2.5,Over,800.0,
Andrew Nembhard,3.5,Over,2500.0,
Anthony Black,0.5,Over,-125.0,
Anthony Black,1.5,Over,390.0,
Anthony Black,2.5,Over,1500.0,
Anthony Edwards,1.5,Over,-1100.0,-1100.0
Anthony Edwards,2.5,Over,-295.0,-295.0
Anthony Edwards,3.5,Over,-117.5,-113.5
Anthony Edwards,3.5,Under,-115.0,-114.0
Anthony Edwards,4.5,Over,180.0,200.0
Anthony Edwards,5.5,Over,380.0,430.0
Anthony Edwards,6.5,Over,800.0,900.0
Anthony Edwards,7.5,Over,1600.0,1500.0
Anthony Edwards,8.5,Over,,3500.0
Austin Reaves,0.5,Over,,-3500.0
Austin Reaves,1.5,Over,-380.0,-410.0
Austin Reaves,2.5,Over,-127.5,-127.5
Austin Reaves,2.5,Under,-105.0,-102.0
Austin Reaves,3.5,Over,185.0,215.0
Austin Reaves,4.5,Over,400.0,500.0
Austin Reaves,5.5,Over,950.0,1060.0
Austin Reaves,6.5,Over,2200.0,2000.0
Ben Sheppard,0.5,Over,-330.0,
Ben Sheppard,1.5,Over,120.0,
Ben Sheppard,2.5,Over,350.0,
Ben Sheppard,3.5,Over,950.0,
Ben Sheppard,4.5,Over,2200.0,
Bogdan Bogdanovic,2.5,Over,,114.0
Bogdan Bogdanovic,2.5,Under,,-152.0
Bol Bol,0.5,Over,-550.0,
Bol Bol,1.5,Over,-117.5,-102.0
Bol Bol,1.5,Under,-115.0,-130.0
Bol Bol,2.5,Over,240.0,
Bol Bol,3.5,Over,650.0,
Bol Bol,4.5,Over,1800.0,
Bradley Beal,0.5,Over,-800.0,
Bradley Beal,1.5,Over,-168.0,
Bradley Beal,1.5,Under,130.0,
Bradley Beal,2.5,Over,180.0,
Bradley Beal,3.5,Over,450.0,
Bradley Beal,4.5,Over,1200.0,
Brandin Podziemski,0.5,Over,,-800.0
Brandin Podziemski,1.5,Over,,-157.0
Brandin Podziemski,1.5,Under,,118.0
Brandin Podziemski,2.5,Over,,210.0
Brandin Podziemski,3.5,Over,,540.0
Brandin Podziemski,4.5,Over,,1200.0
Brook Lopez,0.5,Over,-900.0,-1000.0
Brook Lopez,1.5,Over,-182.5,-186.0
Brook Lopez,1.5,Under,140.0,140.0
Brook Lopez,2.5,Over,155.0,176.0
Brook Lopez,3.5,Over,400.0,460.0
Brook Lopez,4.5,Over,1000.0,1000.0
Brook Lopez,5.5,Over,2500.0,
CJ McCollum,0.5,Over,,-3500.0
CJ McCollum,1.5,Over,-425.0,-430.0
CJ McCollum,2.5,Over,-140.0,-137.0
CJ McCollum,2.5,Under,105.0,104.0
CJ McCollum,3.5,Over,170.0,186.0
CJ McCollum,4.5,Over,390.0,440.0
