name,threesMade,over_under,DraftKings,FanDuel
Aaron Gordon,0.5,Over,-370.0,-340.0
Aaron Gordon,1.5,Over,119.5,140.0
Aaron Gordon,1.5,Under,-160.0,-188.0
Aaron Gordon,2.5,Over,370.0,440.0
Aaron Gordon,3.5,Over,1100.0,1060.0
Aaron Wiggins,0.5,Over,-475.0,-530.0
Aaron Wiggins,1.5,Over,-110.0,-113.5
Aaron Wiggins,1.5,Under,-120.0,-114.0
Aaron Wiggins,2.5,Over,250.0,265.0
Aaron Wiggins,3.5,Over,650.0,680.0
Aaron Wiggins,4.5,Over,1600.0,
Alex Caruso,0.5,Over,-265.0,
Alex Caruso,1.5,Over,149.5,
Alex Caruso,1.5,Under,-200.0,
Alex Caruso,2.5,Over,425.0,
Alex Caruso,3.5,Over,1100.0,
Andre Drummond,0.5,Over,380.0,
Anfernee Simons,0.5,Over,,-4500.0
Anfernee Simons,1.5,Over,-600.0,-560.0
Anfernee Simons,2.5,Over,-190.0,-174.0
Anfernee Simons,3.5,Over,132.5,146.0
Anfernee Simons,3.5,Under,-175.0,-198.0
Anfernee Simons,4.5,Over,290.0,340.0
Anfernee Simons,5.5,Over,650.0,680.0
Anfernee Simons,6.5,Over,1500.0,1300.0
Anfernee Simons,7.5,Over,,3000.0
Anthony Edwards,1.5,Over,-1200.0,-1400.0
Anthony Edwards,2.5,Over,-330.0,-340.0
Anthony Edwards,3.5,Over,-130.0,-130.0
Anthony Edwards,3.5,Under,-105.0,100.0
Anthony Edwards,4.5,Over,155.0,180.0
Anthony Edwards,5.5,Over,320.0,370.0
Anthony Edwards,6.5,Over,650.0,800.0
Anthony Edwards,7.5,Over,1300.0,1500.0
Anthony Edwards,8.5,Over,2500.0,3000.0
Bogdan Bogdanovic,0.5,Over,-900.0,
Bogdan Bogdanovic,1.5,Over,-185.0,
Bogdan Bogdanovic,1.5,Under,140.0,
Bogdan Bogdanovic,2.5,Over,150.0,
Bogdan Bogdanovic,3.5,Over,400.0,
Bogdan Bogdanovic,4.5,Over,1000.0,
Bogdan Bogdanovic,5.5,Over,2200.0,
Bol Bol,0.5,Over,-240.0,-295.0
Bol Bol,1.5,Over,170.0,158.0
Bol Bol,1.5,Under,,-220.0
Bol Bol,2.5,Over,550.0,470.0
Bol Bol,3.5,Over,1600.0,1300.0
Bradley Beal,0.5,Over,-600.0,-590.0
Bradley Beal,1.5,Over,-132.5,-116.5
Bradley Beal,1.5,Under,100.0,-112.0
Bradley Beal,2.5,Over,230.0,285.0
Bradley Beal,3.5,Over,650.0,800.0
Bradley Beal,4.5,Over,1800.0,
Brice Sensabaugh,1.5,Over,-390.0,
Brice Sensabaugh,2.5,Over,-127.5,102.0
Brice Sensabaugh,2.5,Under,-105.0,-136.0
Brice Sensabaugh,3.5,Over,190.0,
Brice Sensabaugh,4.5,Over,425.0,
Brice Sensabaugh,5.5,Over,1000.0,
Brice Sensabaugh,6.5,Over,2200.0,
Brook Lopez,0.5,Over,-330.0,-370.0
Brook Lopez,1.5,Over,132.5,127.0
Brook Lopez,1.5,Under,-175.0,-168.0
Brook Lopez,2.5,Over,425.0,400.0
Brook Lopez,3.5,Over,1200.0,1060.0
CJ McCollum,0.5,Over,,-3500.0
CJ McCollum,1.5,Over,-450.0,-430.0
CJ McCollum,2.5,Over,-140.0,-138.0
CJ McCollum,2.5,Under,105.0,104.0
CJ McCollum,3.5,Over,170.0,190.0
CJ McCollum,4.5,Over,390.0,440.0
CJ McCollum,5.5,Over,900.0,900.0
CJ McCollum,6.5,Over,2000.0,1500.0
CJ McCollum,7.5,Over,,3500.0
Cade Cunningham,0.5,Over,-1000.0,-1200.0
Cade Cunningham,1.5,Over,-205.0,-215.0
Cade Cunningham,2.5,Over,137.5,149.0
Cade Cunningham,2.5,Under,-180.0,-200.0
Cade Cunningham,3.5,Over,340.0,390.0
Cade Cunningham,4.5,Over,900.0,900.0
Cade Cunningham,5.5,Over,2000.0,
Cason Wallace,0.5,Over,-220.0,
Cason Wallace,1.5,Over,185.0,
Cason Wallace,2.5,Over,550.0,
Cason Wallace,3.5,Over,1600.0,
Chet Holmgren,0.5,Over,-340.0,-340.0
Chet Holmgren,1.5,Over,132.5,137.0
Chet Holmgren,1.5,Under,-175.0,-182.0
Chet Holmgren,2.5,Over,400.0,450.0
Chet Holmgren,3.5,Over,1100.0,1200.0
Chris Paul,0.5,Over,-525.0,-530.0
Chris Paul,1.5,Over,-117.5,-113.5
Chris Paul,1.5,Under,-115.0,-114.0
Chris Paul,2.5,Over,260.0,280.0
Chris Paul,3.5,Over,700.0,750.0
Chris Paul,4.5,Over,1800.0,
Christian Braun,0.5,Over,-290.0,-290.0
Christian Braun,1.5,Over,162.5,164.0
Christian Braun,1.5,Under,-215.0,-225.0
Christian Braun,2.5,Over,500.0,540.0
Christian Braun,3.5,Over,1700.0,1400.0
Damian Lillard,0.5,Over,,-6000.0
Damian Lillard,1.5,Over,-900.0,-700.0
Damian Lillard,2.5,Over,-280.0,-215.0
Damian Lillard,3.5,Over,-112.5,113.0
Damian Lillard,3.5,Under,-120.0,-148.0
Damian Lillard,4.5,Over,190.0,250.0
Damian Lillard,5.5,Over,400.0,520.0
Damian Lillard,6.5,Over,900.0,1060.0
Damian Lillard,7.5,Over,1900.0,1700.0
Darius Garland,0.5,Over,,-3000.0
Darius Garland,1.5,Over,-450.0,-400.0
Darius Garland,2.5,Over,-147.5,-129.0
Darius Garland,2.5,Under,114.0,-102.0
Darius Garland,3.5,Over,155.0,200.0
Darius Garland,4.5,Over,340.0,480.0
Darius Garland,5.5,Over,700.0,1000.0
Darius Garland,6.5,Over,1500.0,1700.0
De'Aaron Fox,0.5,Over,-800.0,-770.0
De'Aaron Fox,1.5,Over,-168.0,-156.0
De'Aaron Fox,1.5,Under,130.0,118.0
De'Aaron Fox,2.5,Over,175.0,210.0
De'Aaron Fox,3.5,Over,475.0,560.0
De'Aaron Fox,4.5,Over,1200.0,1300.0
DeMar DeRozan,0.5,Over,-320.0,-340.0
DeMar DeRozan,1.5,Over,142.5,145.0
DeMar DeRozan,1.5,Under,-188.0,-198.0
DeMar DeRozan,2.5,Over,475.0,480.0
DeMar DeRozan,3.5,Over,1500.0,1300.0
Deni Avdija,0.5,Over,-500.0,-520.0
Deni Avdija,1.5,Over,-112.5,-107.0
Deni Avdija,1.5,Under,-120.0,-122.0
Deni Avdija,2.5,Over,270.0,285.0
Deni Avdija,3.5,Over,800.0,800.0
Deni Avdija,4.5,Over,2000.0,
Desmond Bane,0.5,Over,,-4000.0
Desmond Bane,1.5,Over,-475.0,-460.0
Desmond Bane,2.5,Over,-150.0,-147.0
Desmond Bane,2.5,Under,110.0,112.0
Desmond Bane,3.5,Over,145.0,180.0
Desmond Bane,4.5,Over,320.0,430.0
Desmond Bane,5.5,Over,700.0,900.0
Desmond Bane,6.5,Over,1500.0,1700.0
Desmond Bane,7.5,Over,,3500.0
Devin Booker,0.5,Over,,-2500.0
Devin Booker,1.5,Over,-350.0,-350.0
Devin Booker,2.5,Over,-112.5,-109.0
Devin Booker,2.5,Under,-120.0,-120.0
Devin Booker,3.5,Over,220.0,240.0
Devin Booker,4.5,Over,550.0,600.0
Devin Booker,5.5,Over,1300.0,1200.0
Devin Booker,6.5,Over,,3000.0
